Neighborhoods,City,State,Latitude,Longitude,Full Address
Bachman-Northwest Highway,Dallas,Texas,32.8627229,-96.8578225,"Bachman-Northwest Highway, Dallas, Texas "
Bent Tree North,Dallas,Texas,32.998795,-96.822027,"Bent Tree North, Dallas, Texas "
Bent Tree West,Dallas,Texas,32.9948553,-96.8379753,"Bent Tree West, Dallas, Texas "
Bertrand,Dallas,Texas,32.7637426,-96.7477714,"Bertrand, Dallas, Texas "
Beverly Hills,Dallas,Texas,32.864207,-96.804427,"Beverly Hills, Dallas, Texas "
Botello,Dallas,Texas,32.7455458,-96.8166781,"Botello, Dallas, Texas "
Briarwood,Dallas,Texas,32.8579986,-96.8261574,"Briarwood, Dallas, Texas "
Brookhollow,Dallas,Texas,32.8302099,-96.8623104,"Brookhollow, Dallas, Texas "
Bryan Place,Dallas,Texas,32.7923822,-96.7882184,"Bryan Place, Dallas, Texas "
Buckner Terrace,Dallas,Texas,32.7919577,-96.6999928,"Buckner Terrace, Dallas, Texas "
Caruth Hills and Homeplace,Dallas,Texas,32.8629916,-96.7738258,"Caruth Hills, Dallas, Texas "
Casa Linda,Dallas,Texas,32.8285401,-96.6977928,"Casa Linda, Dallas, Texas "
Casa Linda-Casa View,Dallas,Texas,32.8170889,-96.706278,"Casa Linda-Casa View, Dallas, Texas "
Casa View,Dallas,Texas,32.8365426,-96.671831,"Casa View, Dallas, Texas "
Casa View Haven,Dallas,Texas,32.8313455,-96.6786731,"Casa View Haven, Dallas, Texas "
Cedar Crest,Dallas,Texas,32.7200994,-96.8037412,"Cedar Crest, Dallas, Texas "
Cedar Valley College,Dallas,Texas,32.6235417,-96.7617616,"Cedar Valley College, Dallas, Texas "
Cedars,Dallas,Texas,32.7651238,-96.7893707,"Cedars, Dallas, Texas "
Claremont,Dallas,Texas,32.7993311,-96.7093035,"Claremont, Dallas, Texas "
Cochran Heights,Dallas,Texas,32.8631397,-96.8444035,"Cochran Heights, Dallas, Texas "
Cochran Hollow,Dallas,Texas,32.8631397,-96.8444035,"Cochran Hollow, Dallas, Texas "
Cockrell Hill,Dallas,Texas,32.7362421,-96.8869481,"Cockrell Hill, Dallas, Texas "
Deep Ellum,Dallas,Texas,32.7843924,-96.7801849,"Deep Ellum, Dallas, Texas "
Dixon Branch,Dallas,Texas,32.8636327,-96.6963004,"Dixon Branch, Dallas, Texas "
Downtown Dallas,Dallas,Texas,32.7790911,-96.8002704,"Downtown Dallas, Dallas, Texas "
Eastwood Estates,Dallas,Texas,32.8068148,-96.643435,"Eastwood Estates, Dallas, Texas "
Edgewood,Dallas,Texas,32.7642188,-96.7719719,"Edgewood, Dallas, Texas "
El Tivoli Place,Dallas,Texas,32.7516363,-96.8659262,"El Tivoli Place, Dallas, Texas "
En'Core,Dallas,Texas,32.9278749,-96.8221924,"En'Core, Dallas, Texas "
Estates West,Dallas,Texas,32.7627292,-96.8224529,"Estates West, Dallas, Texas "
Five Mile Creek,Dallas,Texas,32.6986758,-96.8324201,"Five Mile Creek, Dallas, Texas "
Forest Court,Dallas,Texas,32.9089688,-96.7914068,"Forest Court, Dallas, Texas "
Forest Hills,Dallas,Texas,32.8117942,-96.7146157,"Forest Hills, Dallas, Texas "
Fort Worth Avenue,Dallas,Texas,32.7614611,-96.8579299,"Fort Worth Avenue, Dallas, Texas "
Fredrick Douglas,Dallas,Texas,32.7157267,-96.6989995,"Fredrick Douglas, Dallas, Texas "
Glencoe Park,Dallas,Texas,32.832566,-96.7785114,"Glencoe Park, Dallas, Texas "
Glenview,Dallas,Texas,32.7155369,-96.6782181,"Glenview, Dallas, Texas "
Greenway Park,Dallas,Texas,32.8415243,-96.8178562,"Greenway Park, Dallas, Texas "
Henderson,Dallas,Texas,32.8232076,-96.7889414,"Henderson, Dallas, Texas "
Highland Hills,Dallas,Texas,32.7563489,-96.5816753,"Highland Hills, Dallas, Texas "
Highlands North,Dallas,Texas,33.0231182,-96.7748298,"Highlands North, Dallas, Texas "
Highlands of McKamy,Dallas,Texas,32.9833846,-96.7830481,"Highlands of McKamy, Dallas, Texas "
Hillcrest Forest,Dallas,Texas,32.909918,-96.785425,"Hillcrest Forest, Dallas, Texas "
Hillcrest Manor,Dallas,Texas,32.8469213,-96.7851166,"Hillcrest Manor, Dallas, Texas "
Hollywood Santa Monica,Dallas,Texas,32.8063685,-96.7401249,"Hollywood Santa Monica, Dallas, Texas "
Inwood-Northwest,Dallas,Texas,32.8905928,-96.8198938,"Inwood-Northwest, Dallas, Texas "
Jubilee Park,Dallas,Texas,32.7869444,-96.7597222,"Jubilee Park, Dallas, Texas "
Kessler Park - Stevens Park,Dallas,Texas,32.7586378,-96.8361591,"Kessler Park - Stevens Park, Dallas,Texas "
Kessler Plaza,Dallas,Texas,32.7486098,-96.8614953,"Kessler Plaza, Dallas, Texas "
Kidd Springs,Dallas,Texas,32.7524451,-96.8347942,"Kidd Springs, Dallas, Texas "
Kimball,Dallas,Texas,32.7914875,-96.802272,"Kimball, Dallas, Texas "
Kings Highway Conservation District,Dallas,Texas,32.7501023,-96.8392812,"Kings Highway Conservation District, Dallas, Texas "
Kingsbridge Crossing,Dallas,Texas,32.7800369,-96.8675231,"Kingsbridge Crossing, Dallas, Texas "
L. O. Daniel,Dallas,Texas,32.7481593,-96.8527327,"L. O. Daniel, Dallas, Texas "
Lake Cliff,Dallas,Texas,32.7570791,-96.8176828,"Lake Cliff, Dallas, Texas "
Lake Highlands,Dallas,Texas,32.8874362,-96.7172907,"Lake Highlands, Dallas, Texas "
Lake Park Estates,Dallas,Texas,32.9796716,-96.7637345,"Lake Park Estates, Dallas, Texas "
Lakeland Hills,Dallas,Texas,32.8060839,-96.6892042,"Lakeland Hills, Dallas, Texas "
Lakewood Heights,Dallas,Texas,32.8207219,-96.7574289,"Lakewood Heights, Dallas, Texas "
Lakewood Hills,Dallas,Texas,32.8119891,-96.7376276,"Lakewood Hills, Dallas, Texas "
Lane Park,Dallas,Texas,32.8719179,-96.7802665,"Lane Park, Dallas, Texas "
Las Casas,Dallas,Texas,32.7879775,-96.7871693,"Las Casas, Dallas, Texas "
Ledbetter Gardens,Dallas,Texas,32.6890485,-96.7838422,"Ledbetter Gardens, Dallas, Texas "
Lovefield West,Dallas,Texas,32.782978,-96.8833562,"Lovefield West, Dallas, Texas "
Lower Greenville,Dallas,Texas,32.8238594,-96.7679774,"Lower Greenville, Dallas, Texas "
Lowest Greenville West,Dallas,Texas,32.8238594,-96.7679774,"Lowest Greenville, West Dallas, Texas "
M Streets,Dallas,Texas,32.8238594,-96.7679774,"M Streets, Dallas, Texas "
Melshire Estates,Dallas,Texas,32.9145594,-96.8117342,"Melshire Estates, Dallas, Texas "
Midway Hollow,Dallas,Texas,32.8659783,-96.8379295,"Midway Hollow, Dallas, Texas "
Mill City,Dallas,Texas,32.7748819,-96.7375465,"Mill City, Dallas, Texas "
Mount Auborn,Dallas,Texas,32.7996838,-96.7478624,"Mount Auborn, Dallas, Texas "
Mountain Creek,Dallas,Texas,32.7173323,-96.9531225,"Mountain Creek, Dallas, Texas "
North Oaklawn,Dallas,Texas,32.8038245,-96.7964621,"North Oaklawn, Dallas, Texas "
Northwood Hills,Dallas,Texas,32.9384138,-96.7719489,"Northwood Hills, Dallas, Texas "
Oak Lawn,Dallas,Texas,32.8096731,-96.8029993,"Oak Lawn, Dallas, Texas "
Oak Park Estates,Dallas,Texas,32.6815675,-96.8562076,"Oak Park Estates, Dallas, Texas "
Old East Dallas,Dallas,Texas,32.7993095,-96.77648,"Old East Dallas, Dallas, Texas "
Old Lake Highlands,Dallas,Texas,32.856998,-96.7092661,"Old Lake Highlands, Dallas, Texas "
Old Mill Court,Dallas,Texas,32.7064721,-96.6632303,"Old Mill Court, Dallas, Texas "
Owenwood,Dallas,Texas,32.7878914,-96.7413706,"Owenwood, Dallas, Texas "
Parkdale-Lawnview,Dallas,Texas,32.773834,-96.7180992,"Parkdale-Lawnview, Dallas, Texas "
Perryton Drive,Dallas,Texas,32.714196,-96.8543382,"Perryton Drive, Dallas, Texas "
Piedmont,Dallas,Texas,32.7582882,-96.6938958,"Piedmont, Dallas, Texas "
Pleasant Grove,Dallas,Texas,32.7341629,-96.6569609,"Pleasant Grove, Dallas, Texas "
Preston Citadel Club,Dallas,Texas,32.9180032,-96.7948718,"Preston Citadel Club, Dallas, Texas "
Preston Highlands,Dallas,Texas,33.1696035,-96.8096457,"Preston Highlands, Dallas, Texas "
Preston Hills,Dallas,Texas,33.2049451,-96.796738,"Preston Hills, Dallas, Texas "
Preston Hollow,Dallas,Texas,32.8800899,-96.8138651,"Preston Hollow, Dallas, Texas "
Preston North,Dallas,Texas,33.0004413,-96.797449,"Preston North, Dallas, Texas "
Preston Royal Northwest,Dallas,Texas,32.8800899,-96.8138651,"Preston Royal Northwest, Dallas, Texas "
Prestonwood,Dallas,Texas,32.9585626,-96.8137833,"Prestonwood, Dallas, Texas "
Prestonwood Estates,Dallas,Texas,33.0368633,-96.8438102,"Prestonwood Estates, Dallas, Texas "
Prestonwood on the Park,Dallas,Texas,32.9598721,-96.7883086,"Prestonwood on the Park, Dallas, Texas "
RANDCO,Dallas,Texas,32.7766642,-96.7969879,"RANDCO, Dallas, Texas "
Redbird,Dallas,Texas,32.6765725,-96.8827149,"Redbird, Dallas, Texas "
Riverway Estates-Bruton Terrace,Dallas,Texas,32.7633953,-96.6654975,"Riverway Estates-Bruton Terrace, Dallas, Texas "
Roseland,Dallas,Texas,32.7996848,-96.7859398,"Roseland, Dallas, Texas "
Royal Northaven,Dallas,Texas,32.8984773,-96.8379055,"Royal Northaven, Dallas, Texas "
Royalwood Estate,Dallas,Texas,32.8891562,-96.8352347,"Royalwood Estate, Dallas, Texas "
RUFCO,Dallas,Texas,32.7766642,-96.7969879,"RUFCO, Dallas, Texas "
Rylie,Dallas,Texas,32.6906872,-96.6374939,"Rylie, Dallas, Texas "
Singing Hills,Dallas,Texas,32.6788196,-96.8014509,"Singing Hills, Dallas, Texas "
South East Dallas,Dallas,Texas,32.7180132,-96.6625535,"South East Dallas, Dallas, Texas "
Spring Creek,Dallas,Texas,32.9630302,-96.7733685,"Spring Creek, Dallas, Texas "
St. Philips,Dallas,Texas,32.7597394,-96.7754319,"St. Philips, Dallas, Texas "
Sunny Acres,Dallas,Texas,32.7972842,-96.7038572,"Sunny Acres, Dallas, Texas "
Vickery,Dallas,Texas,32.8210404,-96.7775073,"Vickery, Dallas, Texas "
Vickery Place,Dallas,Texas,32.8210404,-96.7775073,"Vickery Place, Dallas, Texas "
Village Hill,Dallas,Texas,32.8605579,-96.7650125,"Village Hill, Dallas, Texas "
Westhollow,Dallas,Texas,32.8895637,-96.8730125,"Westhollow, Dallas, Texas "
Westmoreland Heights,Dallas,Texas,32.782712,-96.8769129,"Westmoreland Heights, Dallas, Texas "
Whispering Hills,Dallas,Texas,32.9258104,-96.7079287,"Whispering Hills, Dallas, Texas "
White Rock,Dallas,Texas,32.8539914,-96.7024388,"White Rock, Dallas, Texas "
White Rock Forest,Dallas,Texas,32.8293665,-96.694912,"White Rock Forest, Dallas, Texas "
Wilshire Heights,Dallas,Texas,32.8334272,-96.7560906,"Wilshire Heights, Dallas, Texas "
Windsor Park,Dallas,Texas,32.8642862,-96.8444626,"Windsor Park, Dallas, Texas "
Wolf Creek,Dallas,Texas,32.6616939,-96.84046,"Wolf Creek, Dallas, Texas "
Wynnewood Heights,Dallas,Texas,32.7212004,-96.8342751,"Wynnewood Heights, Dallas, Texas "